AGE,Ethnicity,Age_of_husband,EDU,family,yearsofmarriage,children
25,HIGHER CASTE,35,primary,nuclear,8,1
42,HIGHER CASTE,50,bachelor,nuclear,30,1
32,HIGHER CASTE,37,bachelor,nuclear,6,1
59,HIGHER CASTE,56,primary,nuclear,39,2
50,DALIT,56,basic education,nuclear,30,3
27,HILL JANAJATI,25,highter secondary,nuclear,5,1
47,HIGHER CASTE,49,highter secondary,nuclear,26,2
50,HIGHER CASTE,60,secondary,joint,22,2
40,HIGHER CASTE,38,highter secondary,nuclear,18,3
39,HIGHER CASTE,42,primary,joint,19,1
45,HIGHER CASTE,45,basic education,joint,22,3
36,DALIT,43,basic education,nuclear,15,2
40,HIGHER CASTE,40,basic education,nuclear,22,3
39,HILL JANAJATI,47,basic education,nuclear,10,3
52,HILL JANAJATI,43,basic education,nuclear,29,5
40,HIGHER CASTE,40,primary,nuclear,24,3
45,HILL JANAJATI,60,illiterate,joint,10,1
54,HIGHER CASTE,60,illiterate,joint,35,6
56,HIGHER CASTE,57,primary,joint,20,3
42,HILL JANAJATI,56,illiterate,joint,24,2
38,HIGHER CASTE,43,basic education,joint,20,3
50,HILL JANAJATI,52,illiterate,joint,17,8
52,HILL JANAJATI,57,basic education,joint,32,3
27,HIGHER CASTE,27,basic education,joint,9,1
57,HILL JANAJATI,70,illiterate,joint,41,6
59,HILL JANAJATI,51,illiterate,joint,31,4
60,HIGHER CASTE,70,illiterate,joint,47,3
57,HILL JANAJATI,60,basic education,joint,39,3
37,HIGHER CASTE,42,basic education,joint,17,3
47,HIGHER CASTE,70,illiterate,nuclear,40,4
44,DALIT,51,illiterate,joint,25,4
48,HILL JANAJATI,48,illiterate,joint,28,3
68,HIGHER CASTE,74,illiterate,joint,51,7
69,HILL JANAJATI,71,illiterate,joint,49,3
48,HILL JANAJATI,48,illiterate,joint,18,1
52,HIGHER CASTE,54,basic education,nuclear,21,6
45,HIGHER CASTE,46,secondary,nuclear,16,2
40,HILL JANAJATI,45,illiterate,joint,20,3
38,HIGHER CASTE,39,basic education,joint,11,2
40,HIGHER CASTE,42,highter secondary,nuclear,15,2
32,HILL JANAJATI,30,basic education,nuclear,15,2
35,HIGHER CASTE,41,basic education,joint,9,1
52,HILL JANAJATI,52,secondary,joint,31,3
60,HIGHER CASTE,63,basic education,joint,40,6
25,HILL JANAJATI,27,basic education,joint,6,2
49,HIGHER CASTE,79,illiterate,joint,48,4
31,HILL JANAJATI,35,highter secondary,nuclear,13,2
53,HILL JANAJATI,66,illiterate,joint,49,4
52,HILL JANAJATI,60,illiterate,joint,40,6
33,HILL JANAJATI,35,primary,joint,15,5
26,HILL JANAJATI,28,secondary,joint,6,1
40,HILL JANAJATI,41,secondary,joint,14,3
46,HILL JANAJATI,48,primary,nuclear,20,3
41,HILL JANAJATI,45,illiterate,joint,28,3
40,HILL JANAJATI,38,basic education,joint,18,1
41,HILL JANAJATI,41,illiterate,joint,22,2
38,HILL JANAJATI,40,primary,joint,0,4
35,HIGHER CASTE,40,secondary,joint,18,3
56,HILL JANAJATI,63,illiterate,joint,40,4
38,HIGHER CASTE,41,highter secondary,nuclear,15,3
55,HILL JANAJATI,70,illiterate,joint,37,6
52,HILL JANAJATI,56,illiterate,joint,36,3
48,HILL JANAJATI,51,illiterate,nuclear,28,4
48,HILL JANAJATI,52,illiterate,nuclear,31,4
39,HILL JANAJATI,41,secondary,nuclear,20,2
36,HILL JANAJATI,38,secondary,joint,18,2
59,HIGHER CASTE,83,illiterate,joint,26,2
40,HIGHER CASTE,43,highter secondary,nuclear,19,2
