FormNO,District,Age,Gender,Income,Education,Sevice_evaluation
492,Chitwan,50,Male,11700,SLC/SEE,Good
493,Chitwan,58,Male,14700,Below SLC/SEE,Good
494,Chitwan,30,Female,11900,SLC/SEE,Ok
495,Chitwan,21,Female,10600,SLC/SEE,Ok
496,Chitwan,37,Female,13300,Below SLC/SEE,Ok
497,Chitwan,30,Female,11600,Bachelor,Good
498,Chitwan,52,Male,13600,Masters and above,Ok
499,Chitwan,20,Female,14400,Below SLC/SEE,Ok
500,Chitwan,33,Male,11300,SLC/SEE,Ok
501,Chitwan,20,Female,11100,SLC/SEE,Good
502,Chitwan,72,Female,5800,Below SLC/SEE,Good
503,Chitwan,50,Female,10700,Below SLC/SEE,Ok
504,Chitwan,48,Male,11900,SLC/SEE,Good
505,Chitwan,45,Female,11300,SLC/SEE,Good
506,Chitwan,30,Male,11700,SLC/SEE,Good
507,Chitwan,58,Male,10100,Below SLC/SEE,Ok
508,Chitwan,59,Male,13500,SLC/SEE,Ok
509,Chitwan,26,Male,11300,SLC/SEE,Good
510,Chitwan,30,Male,12500,SLC/SEE,Ok
511,Chitwan,60,Female,2900,Below SLC/SEE,Good
512,Chitwan,68,Female,6500,Below SLC/SEE,Good
513,Chitwan,65,Male,3400,SLC/SEE,Good
514,Chitwan,20,Female,13600,SLC/SEE,Good
515,Chitwan,34,Female,14600,SLC/SEE,Ok
516,Chitwan,38,Female,13100,SLC/SEE,Ok
517,Chitwan,59,Female,14800,Below SLC/SEE,Ok
518,Chitwan,50,Female,10600,Below SLC/SEE,Good
519,Chitwan,64,Male,2900,Below SLC/SEE,Good
520,Chitwan,50,Female,11500,Below SLC/SEE,Good
531,Chitwan,55,Male,13400,Masters and above,Ok
541,Chitwan,34,Male,10100,Inter/+2,Ok
542,Chitwan,60,Male,6200,Bachelor,Ok
543,Chitwan,32,Male,12700,Inter/+2,Very Good
544,Chitwan,48,Male,15000,SLC/SEE,Ok
545,Chitwan,49,Male,11200,SLC/SEE,Ok
546,Chitwan,52,Male,14500,SLC/SEE,Good
547,Chitwan,50,Male,12200,Inter/+2,Good
548,Chitwan,27,Male,13600,Inter/+2,Good
549,Chitwan,30,Male,13300,Bachelor,Good
550,Chitwan,40,Male,14800,Inter/+2,Ok
551,Chitwan,50,Male,10600,Inter/+2,Ok
552,Chitwan,26,Male,12700,SLC/SEE,Good
553,Chitwan,35,Male,11300,SLC/SEE,Ok
554,Chitwan,40,Male,14200,SLC/SEE,Ok
555,Chitwan,22,Male,10300,SLC/SEE,Good
556,Chitwan,48,Male,10100,SLC/SEE,Ok
557,Chitwan,42,Male,14800,Masters and above,Good
558,Chitwan,38,Male,12500,Masters and above,Very Bad
559,Chitwan,28,Male,11100,SLC/SEE,Bad
560,Chitwan,40,Male,10200,SLC/SEE,Good
561,Chitwan,34,Male,12300,Inter/+2,Ok
562,Chitwan,46,Male,13500,Inter/+2,Good
563,Chitwan,42,Male,14700,Bachelor,Ok
564,Chitwan,51,Male,12500,Bachelor,Good
565,Chitwan,29,Male,14700,Inter/+2,Good
566,Chitwan,27,Male,12800,SLC/SEE,Good
567,Chitwan,60,Female,2800,SLC/SEE,Good
568,Chitwan,44,Male,10400,Bachelor,Good
569,Chitwan,62,Male,4500,SLC/SEE,Good
570,Chitwan,35,Male,14200,SLC/SEE,Ok
571,Chitwan,37,Male,12100,Bachelor,Ok
572,Chitwan,35,Male,12100,Below SLC/SEE,Good
573,Chitwan,35,Male,10700,SLC/SEE,Ok
574,Chitwan,68,Female,4700,SLC/SEE,Good
575,Chitwan,30,Male,11500,Bachelor,Ok
576,Chitwan,35,Male,14600,SLC/SEE,Good
577,Chitwan,35,Male,13700,SLC/SEE,Ok
578,Chitwan,26,Male,14900,SLC/SEE,Ok
579,Chitwan,20,Male,11300,Bachelor,Good
580,Chitwan,45,Male,10200,SLC/SEE,Good
581,Chitwan,54,Male,10900,Masters and above,Good
582,Chitwan,43,Male,14200,Masters and above,Good
583,Chitwan,38,Male,12100,Bachelor,Ok
584,Chitwan,37,Female,14200,SLC/SEE,Ok
585,Chitwan,32,Male,12800,Inter/+2,Ok
586,Chitwan,43,Male,10000,SLC/SEE,Ok
587,Chitwan,53,Male,11200,SLC/SEE,Ok
588,Chitwan,56,Male,10400,Inter/+2,Ok
589,Chitwan,25,Male,12000,SLC/SEE,Ok
590,Chitwan,30,Male,11800,SLC/SEE,Good
591,Chitwan,29,Female,11200,Inter/+2,Good
592,Chitwan,35,Male,11500,SLC/SEE,Ok
593,Chitwan,39,Male,10800,Inter/+2,Good
594,Chitwan,57,Female,13600,SLC/SEE,Ok
595,Chitwan,33,Female,14500,SLC/SEE,Ok
596,Chitwan,30,Female,13000,SLC/SEE,Ok
597,Chitwan,70,Male,6600,Below SLC/SEE,Ok
598,Chitwan,42,Female,14200,Below SLC/SEE,Ok
599,Chitwan,25,Female,14300,Inter/+2,Ok
600,Chitwan,47,Female,10300,SLC/SEE,Ok
601,Chitwan,25,Male,11500,Bachelor,Good
602,Chitwan,40,Male,10100,Inter/+2,Good
603,Chitwan,51,Male,11800,Inter/+2,Ok
604,Chitwan,55,Male,12000,Inter/+2,Ok
605,Chitwan,39,Male,10900,Bachelor,Good
606,Chitwan,42,Male,11900,SLC/SEE,Good
607,Chitwan,50,Male,13900,SLC/SEE,Ok
608,Chitwan,46,Female,12800,Inter/+2,Ok
609,Chitwan,70,Male,6200,SLC/SEE,Ok
610,Chitwan,38,Female,12200,Bachelor,Good
611,Chitwan,33,Female,10200,Inter/+2,Ok
612,Chitwan,34,Female,10000,SLC/SEE,Bad
613,Chitwan,37,Male,11500,Bachelor,Good
614,Chitwan,51,Male,10300,Bachelor,Ok
615,Chitwan,50,Male,10900,SLC/SEE,Ok
616,Chitwan,54,Male,13600,SLC/SEE,Good
617,Chitwan,34,Female,11700,Inter/+2,Good
618,Chitwan,42,Male,11700,SLC/SEE,Ok
619,Chitwan,53,Male,10700,Masters and above,Good
620,Chitwan,52,Male,12000,Inter/+2,Very Good
621,Chitwan,68,Male,6200,Inter/+2,Good
622,Chitwan,54,Female,11300,SLC/SEE,Ok
623,Chitwan,70,Male,4000,Inter/+2,Good
624,Chitwan,50,Male,11800,SLC/SEE,Good
625,Chitwan,48,Male,13700,Inter/+2,Good
626,Chitwan,52,Female,10800,SLC/SEE,Ok
627,Chitwan,38,Female,11400,Inter/+2,Good
628,Chitwan,55,Male,13400,SLC/SEE,Ok
629,Chitwan,30,Female,14000,SLC/SEE,Good
630,Chitwan,26,Female,12200,Masters and above,Good
631,Chitwan,35,Female,11700,SLC/SEE,Good
632,Chitwan,45,Female,14300,SLC/SEE,Ok
633,Chitwan,30,Female,10100,SLC/SEE,Ok
634,Chitwan,60,Male,3900,SLC/SEE,Ok
635,Chitwan,71,Male,5300,SLC/SEE,Ok
636,Chitwan,55,Male,10600,SLC/SEE,Good
637,Chitwan,62,Male,5500,SLC/SEE,Good
638,Chitwan,24,Male,10500,SLC/SEE,Good
639,Chitwan,40,Male,13800,Below SLC/SEE,Good
640,Chitwan,27,Female,12800,SLC/SEE,Good
641,Chitwan,30,Male,13300,Inter/+2,Good
642,Chitwan,49,Male,11400,SLC/SEE,Ok
643,Chitwan,43,Male,11500,SLC/SEE,Good
644,Chitwan,33,Female,12500,SLC/SEE,Good
645,Chitwan,43,Male,13200,SLC/SEE,Good
646,Chitwan,49,Male,10400,SLC/SEE,Ok
647,Chitwan,45,Male,10600,Below SLC/SEE,Ok
648,Chitwan,51,Male,13100,SLC/SEE,Ok
649,Chitwan,32,Female,13100,Inter/+2,Good
650,Chitwan,60,Male,2500,SLC/SEE,Good
651,Chitwan,35,Male,14800,SLC/SEE,Ok
652,Chitwan,52,Male,10100,SLC/SEE,Good
653,Chitwan,73,Male,2800,SLC/SEE,Good
654,Chitwan,40,Male,12600,Inter/+2,Very Good
655,Chitwan,50,Male,13300,SLC/SEE,Ok
656,Chitwan,48,Male,14300,SLC/SEE,Good
657,Chitwan,42,Male,12400,SLC/SEE,Ok
658,Chitwan,30,Male,10900,SLC/SEE,Ok
659,Chitwan,68,Male,3400,Inter/+2,Ok
660,Chitwan,52,Male,15000,Inter/+2,Good
661,Chitwan,47,Male,13800,Masters and above,Ok
662,Chitwan,54,Male,12800,Inter/+2,Good
663,Chitwan,56,Female,14800,SLC/SEE,Good
664,Chitwan,29,Male,12600,Inter/+2,Ok
665,Chitwan,54,Male,10500,Inter/+2,Good
666,Chitwan,68,Male,3200,SLC/SEE,Ok
667,Chitwan,36,Female,14800,SLC/SEE,Good
668,Chitwan,65,Male,4200,Inter/+2,Ok
669,Chitwan,37,Male,11000,Masters and above,Very Good
670,Chitwan,52,Male,14700,Bachelor,Good
671,Chitwan,32,Male,14800,SLC/SEE,Ok
672,Chitwan,51,Male,13300,SLC/SEE,Ok
673,Chitwan,66,Male,5200,Below SLC/SEE,Ok
674,Chitwan,51,Male,13500,SLC/SEE,Ok
675,Chitwan,55,Male,14100,Inter/+2,Ok
676,Chitwan,45,Male,10600,SLC/SEE,Good
677,Chitwan,40,Female,12400,Inter/+2,Good
678,Chitwan,46,Male,10800,Masters and above,Good
679,Chitwan,59,Male,10600,Masters and above,Good
680,Chitwan,71,Male,3300,Inter/+2,Ok
681,Chitwan,50,Female,14500,SLC/SEE,Ok
682,Chitwan,37,Female,10100,Inter/+2,Ok
683,Chitwan,24,Female,14400,Inter/+2,Ok
684,Chitwan,30,Female,11800,Bachelor,Good
685,Chitwan,43,Female,12100,SLC/SEE,Good
686,Chitwan,25,Female,10300,SLC/SEE,Good
687,Chitwan,43,Male,14900,SLC/SEE,Ok
688,Chitwan,49,Male,11700,Inter/+2,Ok
689,Chitwan,43,Male,13800,Inter/+2,Ok
690,Chitwan,30,Female,12600,Inter/+2,Good
691,Chitwan,45,Male,11200,Inter/+2,Good
692,Chitwan,50,Male,13000,Inter/+2,Good
693,Chitwan,37,Female,11500,SLC/SEE,Ok
694,Chitwan,51,Male,11100,Inter/+2,Ok
695,Chitwan,43,Male,11300,SLC/SEE,Ok
696,Chitwan,40,Male,10900,Inter/+2,Ok
697,Chitwan,27,Male,13400,Inter/+2,Ok
698,Chitwan,39,Male,15000,Bachelor,Ok
699,Chitwan,42,Male,13500,Inter/+2,Ok
700,Chitwan,47,Male,12000,Inter/+2,Ok
701,Chitwan,26,Female,10100,SLC/SEE,Ok
702,Chitwan,45,Male,13600,Masters and above,Good
703,Chitwan,47,Male,11500,Bachelor,Ok
704,Chitwan,52,Male,11500,SLC/SEE,Ok
705,Chitwan,39,Male,12400,Inter/+2,Ok
706,Chitwan,42,Male,11800,SLC/SEE,Ok
707,Chitwan,53,Female,13200,Below SLC/SEE,Ok
708,Chitwan,27,Female,11700,Inter/+2,Ok
709,Chitwan,37,Female,10200,SLC/SEE,Ok
710,Chitwan,30,Male,12000,Bachelor,Ok
711,Chitwan,33,Female,13900,SLC/SEE,Ok
712,Chitwan,55,Male,10900,SLC/SEE,Ok
713,Chitwan,38,Male,11300,SLC/SEE,Ok
714,Chitwan,29,Female,13300,Inter/+2,Ok
715,Chitwan,31,Male,10300,SLC/SEE,Ok
716,Chitwan,30,Female,12100,SLC/SEE,Ok
717,Chitwan,34,Female,13600,SLC/SEE,Ok
718,Chitwan,24,Male,13500,Inter/+2,Ok
719,Chitwan, ,Female,10500,SLC/SEE,Very Bad
720,Chitwan,44,Male,12600,SLC/SEE,Bad
241,Chitwan,30,Female,14700,SLC/SEE,Ok
242,Chitwan,45,Male,12300,SLC/SEE,Ok
243,Chitwan,48,Male,11800,SLC/SEE,Ok
244,Chitwan, ,Male,11700,SLC/SEE,Good
245,Chitwan,26,Female,10600,Inter/+2,Very Bad
246,Chitwan,25,Female,11700,SLC/SEE,Ok
247,Chitwan,80,Male,4900,SLC/SEE,Ok
248,Chitwan,45,Male,10800,SLC/SEE,Ok
249,Chitwan,42,Male,14000,Masters and above,Ok
250,Chitwan,45,Male,14700,Inter/+2,Ok
251,Chitwan,35,Male,10200,SLC/SEE,Ok
252,Chitwan,27,Female,10400,Bachelor,Bad
253,Chitwan,55,Male,14000,SLC/SEE,Ok
254,Chitwan,31,Female,11200,SLC/SEE,Ok
255,Chitwan,48,Female,13300,SLC/SEE,Ok
256,Chitwan,48,Male,10100,SLC/SEE,Ok
257,Chitwan,43,Male,12700,SLC/SEE,Ok
258,Chitwan,46,Male,11200,SLC/SEE,Ok
259,Chitwan,42,Male,14600,Inter/+2,Good
260,Chitwan,50,Male,10800,SLC/SEE,Ok
261,Chitwan,68,Male,5100,SLC/SEE,Good
262,Chitwan,26,Male,11100,Inter/+2,Bad
263,Chitwan,54,Male,13700,SLC/SEE,Good
264,Chitwan,54,Male,13400,SLC/SEE,Bad
265,Chitwan,28,Male,11400,Bachelor,Good
266,Chitwan,53,Male,12500,SLC/SEE,Ok
267,Chitwan,44,Male,12400,SLC/SEE,Good
268,Chitwan,63,Male,4900,SLC/SEE,Good
269,Chitwan,45,Male,14900,Inter/+2,Ok
270,Chitwan,38,Male,14500,SLC/SEE,Ok
271,Chitwan,49,Male,11100,Bachelor,Ok
272,Chitwan,50,Male,12500,Below SLC/SEE,Ok
273,Chitwan,48,Male,12900,Bachelor,Ok
274,Chitwan,60,Male,4300,SLC/SEE,Ok
275,Chitwan,20,Female,11000,Bachelor,Ok
276,Chitwan,27,Female,11800,SLC/SEE,Bad
277,Chitwan,36,Male,10500,Bachelor,Ok
278,Chitwan,36,Male,15000,SLC/SEE,Ok
279,Chitwan,62,Male,2700,SLC/SEE,Ok
280,Chitwan,48,Male,10800,SLC/SEE,Bad
281,Chitwan,42,Male,14000,SLC/SEE,Ok
282,Chitwan,47,Male,13700,SLC/SEE,Ok
283,Chitwan,25,Female,11200,Bachelor,Ok
284,Chitwan,18,Female,13700,SLC/SEE,Ok
285,Chitwan, ,Male,14900,SLC/SEE,Ok
286,Chitwan,28,Male,10600,Inter/+2,Ok
287,Chitwan,48,Male,13300,SLC/SEE,Bad
288,Chitwan,52,Male,14200,SLC/SEE,Ok
289,Chitwan,38,Female,13200,SLC/SEE,Ok
290,Chitwan,50,Male,14400,Below SLC/SEE,Ok
291,Chitwan,46,Female,12200,SLC/SEE,Ok
292,Chitwan,35,Male,14100,Inter/+2,Ok
293,Chitwan,58,Male,14700,Below SLC/SEE,Ok
294,Chitwan,72,Male,4700,SLC/SEE,Ok
295,Chitwan,32,Female,11200,Inter/+2,Ok
296,Chitwan,35,Male,10500,Inter/+2,Ok
297,Chitwan,45,Female,10100,SLC/SEE,Bad
298,Chitwan,37,Female,13900,SLC/SEE,Ok
299,Chitwan,53,Male,11700,SLC/SEE,Ok
300,Chitwan,38,Male,11500,Bachelor,Ok
301,Chitwan,39,Male,14700,SLC/SEE,Ok
302,Chitwan,60,Male,3700,SLC/SEE,Bad
303,Chitwan,35,Male,11900,SLC/SEE,Ok
304,Chitwan,25,Female,14000,SLC/SEE,Ok
305,Chitwan,61,Female,4200,Below SLC/SEE,Good
306,Chitwan,56,Male,11200,SLC/SEE,Ok
307,Chitwan,30,Female,11800,SLC/SEE,Good
308,Chitwan,28,Female,11300,SLC/SEE,Good
309,Chitwan,23,Male,12700,Masters and above,Good
310,Chitwan,24,Female,12300,SLC/SEE,Good
311,Chitwan,63,Male,2700,SLC/SEE,Ok
312,Chitwan,63,Female,2700,Below SLC/SEE,Good
313,Chitwan,30,Male,11300,SLC/SEE,Good
314,Chitwan,59,Female,11900,SLC/SEE,Ok
315,Chitwan,30,Female,12100,SLC/SEE,Good
316,Chitwan,40,Female,11100,SLC/SEE,Very Bad
317,Chitwan,58,Male,13900,SLC/SEE,Good
318,Chitwan,50,Male,14200,SLC/SEE,Good
319,Chitwan,40,Female,14000,SLC/SEE,Good
320,Chitwan,24,Female,12500,SLC/SEE,Very Good
321,Chitwan,31,Male,11200,SLC/SEE,Ok
322,Chitwan,44,Male,12300,SLC/SEE,Good
323,Chitwan,45,Male,12500,SLC/SEE,Bad
324,Chitwan,47,Male,14900,Inter/+2,Good
325,Chitwan,50,Male,10600,SLC/SEE,Good
326,Chitwan,38,Male,14200,SLC/SEE,Good
327,Chitwan,45,Male,13300,Masters and above,Good
328,Chitwan,27,Female,12400,Inter/+2,Ok
329,Chitwan,27,Male,12700,Masters and above,Ok
330,Chitwan,66,Male,6300,Below SLC/SEE,Good
331,Chitwan,27,Female,10200,SLC/SEE,Bad
332,Chitwan,63,Male,4600,SLC/SEE,Bad
333,Chitwan,26,Male,14700,Inter/+2,Ok
334,Chitwan,25,Female,11300,SLC/SEE,Good
335,Chitwan,57,Male,11000,Masters and above,Good
336,Chitwan,43,Female,10400,SLC/SEE,Good
337,Chitwan,42,Female,14500,Inter/+2,Ok
338,Chitwan,29,Male,13300,SLC/SEE,Very Good
339,Chitwan,56,Male,10500,SLC/SEE,Ok
340,Chitwan,46,Male,13400,SLC/SEE,Good
341,Chitwan,51,Male,13600,SLC/SEE,Ok
342,Chitwan,50,Male,10900,SLC/SEE,Ok
343,Chitwan,21,Male,13700,SLC/SEE,Ok
344,Chitwan,54,Male,11700,SLC/SEE,Bad
345,Chitwan,41,Male,11500,Inter/+2,Good
346,Chitwan,49,Female,14200,SLC/SEE,Bad
347,Chitwan,32,Male,12400,SLC/SEE,Good
348,Chitwan,22,Male,11000,SLC/SEE,Ok
349,Chitwan,54,Male,14900,SLC/SEE,Good
350,Chitwan,60,Male,3800,SLC/SEE,Good
351,Chitwan,40,Male,11800,SLC/SEE,Ok
352,Chitwan,45,Male,12600,SLC/SEE,Ok
353,Chitwan,48,Male,14500,SLC/SEE,Ok
354,Chitwan,39,Male,10800,SLC/SEE,Good
355,Chitwan,42,Male,14600,SLC/SEE,Ok
356,Chitwan,29,Male,11400,Bachelor,Ok
357,Chitwan,28,Male,14100,Bachelor,Very Good
358,Chitwan,36,Male,14100,SLC/SEE,Ok
359,Chitwan,47,Male,14400,SLC/SEE,Bad
360,Chitwan,28,Male,13100,SLC/SEE,Ok
361,Chitwan,32,Male,11700,SLC/SEE,Good
362,Chitwan,56,Female,13500,SLC/SEE,Ok
363,Chitwan,59,Male,11000,SLC/SEE,Good
364,Chitwan,67,Male,5100,SLC/SEE,Good
365,Chitwan,54,Male,10800,SLC/SEE,Good
366,Chitwan,60,Male,5100,SLC/SEE,Ok
367,Chitwan,53,Male,12400,Below SLC/SEE,Ok
368,Chitwan,34,Female,11800,SLC/SEE,Ok
369,Chitwan,45,Male,10000,SLC/SEE,Good
370,Chitwan,40,Female,12600,SLC/SEE,Ok
372,Chitwan,25,Male,10500,SLC/SEE,Good
373,Chitwan, ,Female,14500,SLC/SEE,Ok
374,Chitwan,37,Male,11900,Bachelor,Ok
375,Chitwan,55,Male,10000,SLC/SEE,Ok
376,Chitwan,56,Male,10500,SLC/SEE,Ok
377,Chitwan,28,Female,13000,SLC/SEE,Good
378,Chitwan,43,Male,14900,SLC/SEE,Good
379,Chitwan,46,Male,11200,SLC/SEE,Ok
380,Chitwan,42,Male,13100,Inter/+2,Good
381,Chitwan,44,Male,11200,SLC/SEE,Good
382,Chitwan,56,Male,14800,SLC/SEE,Good
383,Chitwan,42,Female,10300,SLC/SEE,Ok
384,Chitwan,53,Male,13000,Below SLC/SEE,Ok
385,Chitwan,36,Female,10600,Below SLC/SEE,Ok
386,Chitwan,32,Male,10900,SLC/SEE,Ok
387,Chitwan,32,Male,10100,SLC/SEE,Ok
388,Chitwan,42,Male,12900,SLC/SEE,Ok
389,Chitwan,51,Female,11200,Below SLC/SEE,Bad
390,Chitwan,42,Male,11100,SLC/SEE,Ok
391,Chitwan,61,Female,6700,Below SLC/SEE,Ok
392,Chitwan,37,Male,14500,SLC/SEE,Ok
393,Chitwan,46,Female,10100,Below SLC/SEE,Ok
394,Chitwan,56,Female,12400,Below SLC/SEE,Ok
395,Chitwan,45,Male,10300,SLC/SEE,Ok
396,Chitwan,37,Male,11800,SLC/SEE,Ok
397,Chitwan,52,Male,11700,Below SLC/SEE,Ok
398,Chitwan,62,Male,6700,Below SLC/SEE,Ok
399,Chitwan,60,Male,5200,Below SLC/SEE,Ok
400,Chitwan,55,Female,12100,Below SLC/SEE,Ok
401,Chitwan,65,Male,3600,Below SLC/SEE,Ok
402,Chitwan,66,Male,3900,SLC/SEE,Ok
403,Chitwan,43,Male,13000,SLC/SEE,Ok
404,Chitwan, ,Male,12400,SLC/SEE,Ok
405,Chitwan,31,Female,10200,SLC/SEE,Ok
406,Chitwan,35,Male,10500,SLC/SEE,Ok
407,Chitwan,46,Male,14000,SLC/SEE,Ok
408,Chitwan,39,Male,12500,SLC/SEE,Ok
409,Chitwan,43,Male,13400,Below SLC/SEE,Ok
410,Chitwan,34,Male,11900,SLC/SEE,Ok
411,Chitwan,50,Male,12600,SLC/SEE,Ok
412,Chitwan,48,Male,12800,SLC/SEE,Ok
413,Chitwan,54,Male,11300,SLC/SEE,Ok
414,Chitwan,37,Male,10700,Below SLC/SEE,Ok
415,Chitwan,39,Male,12400,SLC/SEE,Ok
416,Chitwan,40,Male,12200,Below SLC/SEE,Ok
417,Chitwan,32,Female,10100,SLC/SEE,Ok
418,Chitwan, ,Female,10900,SLC/SEE,Bad
419,Chitwan,41,Male,11100,SLC/SEE,Ok
420,Chitwan,43,Male,10500,SLC/SEE,Ok
421,Chitwan,41,Male,11500,Inter/+2,Good
422,Chitwan,45,Male,11400,Inter/+2,Very Good
423,Chitwan,31,Male,14300,Inter/+2,Ok
424,Chitwan,51,Female,12200,Below SLC/SEE,Ok
425,Chitwan,33,Female,13000,Inter/+2,Ok
426,Chitwan,43,Male,12900,SLC/SEE,Good
427,Chitwan,34,Male,11800,Masters and above,Ok
428,Chitwan,42,Male,12800,SLC/SEE,Very Good
429,Chitwan,24,Female,10500,SLC/SEE,Good
430,Chitwan,29,Male,14000,SLC/SEE,Good
431,Chitwan, ,Male,10300,SLC/SEE,Very Good
432,Chitwan,34,Female,12600,Masters and above,Very Good
433,Chitwan,39,Male,12600,SLC/SEE,Good
434,Chitwan, ,Male,10600,SLC/SEE,Good
435,Chitwan,63,Male,4800,SLC/SEE,Good
436,Chitwan,68,Male,5500,Below SLC/SEE,Ok
437,Chitwan,54,Male,13600,SLC/SEE,Ok
438,Chitwan,22,Male,11000,Inter/+2,Good
439,Chitwan,47,Male,14200,Below SLC/SEE,Good
440,Chitwan,29,Male,10900,Inter/+2,Good
441,Chitwan,53,Female,10200,SLC/SEE,Ok
442,Chitwan,27,Male,12500,Inter/+2,Good
443,Chitwan, ,Male,15000,Inter/+2,Bad
444,Chitwan,49,Male,14000,SLC/SEE,Good
445,Chitwan,24,Male,10400,Bachelor,Ok
446,Chitwan,43,Male,11400,SLC/SEE,Ok
447,Chitwan,63,Male,3500,SLC/SEE,Good
448,Chitwan,33,Male,10700,SLC/SEE,Good
449,Chitwan,34,Male,11000,Inter/+2,Ok
450,Chitwan,50,Male,12800,Bachelor,Ok
451,Chitwan,56,Male,12300,Inter/+2,Ok
452,Chitwan,44,Male,12200,Inter/+2,Good
453,Chitwan,72,Male,3600,SLC/SEE,Good
454,Chitwan,19,Female,10000,Bachelor,Ok
455,Chitwan,57,Female,11200,Below SLC/SEE,Good
456,Chitwan,44,Male,12600,SLC/SEE,Bad
457,Chitwan,44,Female,10100,SLC/SEE,Good
458,Chitwan,37,Male,13900,Masters and above,Good
459,Chitwan,49,Female,14900,Below SLC/SEE,Ok
460,Chitwan,36,Male,12800,SLC/SEE,Ok
461,Chitwan,56,Male,11700,Below SLC/SEE,Ok
462,Chitwan,53,Male,11500,SLC/SEE,Ok
463,Chitwan,30,Male,11100,Inter/+2,Ok
464,Chitwan,53,Male,14400,SLC/SEE,Ok
465,Chitwan,27,Female,14900,Below SLC/SEE,Ok
466,Chitwan,26,Male,12200,Bachelor,Good
467,Chitwan,47,Male,10400,SLC/SEE,Ok
468,Chitwan,63,Male,3600,SLC/SEE,Good
469,Chitwan,46,Male,12200,Inter/+2,Ok
470,Chitwan,67,Male,5200,SLC/SEE,Ok
471,Chitwan,44,Male,11100,Inter/+2,Ok
472,Chitwan,60,Female,4400,SLC/SEE,Ok
473,Chitwan,42,Male,11700,SLC/SEE,Ok
474,Chitwan,35,Male,11000,SLC/SEE,Very Good
475,Chitwan,69,Male,6100,Below SLC/SEE,Ok
476,Chitwan,37,Male,10300,Below SLC/SEE,Good
477,Chitwan,57,Male,10600,Below SLC/SEE,Ok
478,Chitwan,49,Male,13000,SLC/SEE,Ok
479,Chitwan,27,Male,12000,SLC/SEE,Ok
480,Chitwan,36,Male,14000,Inter/+2,Ok
481,Chitwan,39,Female,11400,SLC/SEE,Ok
482,Chitwan,45,Male,11900,SLC/SEE,Ok
483,Chitwan,32,Female,13400,Bachelor,Good
484,Chitwan,39,Male,12300,Inter/+2,Ok
485,Chitwan,33,Male,13700,Bachelor,Ok
486,Chitwan,26,Female,14800,SLC/SEE,Bad
487,Chitwan,22,Female,11300,Inter/+2,Good
488,Chitwan,21,Female,14000,SLC/SEE,Bad
489,Chitwan,40,Female,11400,SLC/SEE,Good
490,Chitwan,31,Male,12300,SLC/SEE,Ok
491,Chitwan,70,Female,2500,Below SLC/SEE,Ok
492,Chitwan,50,Male,11500,SLC/SEE,Good
493,Chitwan,58,Male,10000,Below SLC/SEE,Good
494,Chitwan,30,Female,10700,SLC/SEE,Ok
495,Chitwan,21,Female,13700,SLC/SEE,Ok
496,Chitwan,37,Female,13200,Below SLC/SEE,Ok
497,Chitwan,30,Female,12900,Bachelor,Good
498,Chitwan,52,Male,10600,Masters and above,Ok
499,Chitwan,20,Female,13000,Below SLC/SEE,Ok
500,Chitwan,33,Male,10800,SLC/SEE,Ok
501,Chitwan,20,Female,11900,SLC/SEE,Good
502,Chitwan,72,Female,3300,Below SLC/SEE,Good
503,Chitwan,50,Female,13200,Below SLC/SEE,Ok
504,Chitwan,48,Male,11700,SLC/SEE,Good
505,Chitwan,45,Female,12400,SLC/SEE,Good
506,Chitwan,30,Male,13200,SLC/SEE,Good
507,Chitwan,58,Male,12300,Below SLC/SEE,Ok
508,Chitwan,59,Male,10800,SLC/SEE,Ok
509,Chitwan,26,Male,10600,SLC/SEE,Good
510,Chitwan,30,Male,11500,SLC/SEE,Ok
511,Chitwan,60,Female,3000,Below SLC/SEE,Good
512,Chitwan,68,Female,6100,Below SLC/SEE,Good
513,Chitwan,65,Male,3700,SLC/SEE,Good
514,Chitwan,20,Female,13600,SLC/SEE,Good
515,Chitwan,34,Female,12000,SLC/SEE,Ok
516,Chitwan,38,Female,11400,SLC/SEE,Ok
517,Chitwan,59,Female,10600,Below SLC/SEE,Ok
518,Chitwan,50,Female,11800,Below SLC/SEE,Good
519,Chitwan,64,Male,5600,Below SLC/SEE,Good
520,Chitwan,50,Female,11400,Below SLC/SEE,Good
531,Chitwan,55,Male,10400,Masters and above,Ok
541,Chitwan,34,Male,14000,Inter/+2,Ok
542,Chitwan,60,Male,5400,Bachelor,Ok
543,Chitwan,32,Male,14600,Inter/+2,Very Good
544,Chitwan,48,Male,14400,SLC/SEE,Ok
545,Chitwan,49,Male,11500,SLC/SEE,Ok
546,Chitwan,52,Male,11700,SLC/SEE,Good
547,Chitwan,50,Male,10300,Inter/+2,Good
548,Chitwan,27,Male,14300,Inter/+2,Good
549,Chitwan,30,Male,11100,Bachelor,Good
550,Chitwan,40,Male,11600,Inter/+2,Ok
551,Chitwan,50,Male,11600,Inter/+2,Ok
552,Chitwan,26,Male,14000,SLC/SEE,Good
553,Chitwan,35,Male,12600,SLC/SEE,Ok
554,Chitwan,40,Female,11600,SLC/SEE,Ok
555,Chitwan,22,Male,11500,SLC/SEE,Good
556,Chitwan,48,Male,10600,SLC/SEE,Ok
557,Chitwan,42,Male,14000,Masters and above,Good
